title,release_date,genre,director,duration,imdb_id,country,year
Ice Scream,1957-08-30T00:00:00Z,"animated cartoon, comedy film",Seymour Kneitel,,tt0148323,United States,1957
Il Grido,1957-01-01T00:00:00Z,drama film,Michelangelo Antonioni,116,tt0050458,Italy,1957
Typhon sur Nagasaki,1957-01-01T00:00:00Z,"drama film, romance film",Yves Ciampi,115,tt0051121,Japan,1957
Fox Terror,1957-05-11T00:00:00Z,,Robert McKimson,,tt0050409,United States,1957
The Abominable Snowman,1957-10-19T00:00:00Z,fantasy film,Val Guest,91,tt0050095,United Kingdom,1957
Stakan vody,1957-01-01T00:00:00Z,comedy film,Aleksandr Usoltsev-Garf,98,tt5849764,Soviet Union,1957
Mera Naam Chin Chin Chu,1958-06-15T00:00:00Z,,,,,India,1958
Aaiye Meharban,1958-06-15T00:00:00Z,,,,,India,1958
Finnegan's Flea,1958-04-04T00:00:00Z,"animated cartoon, comedy film, musical film",Isadore Sparber,,tt0150556,United States,1958
The Greedy Bee,1958-01-01T00:00:00Z,,Gyula Macskássy,,tt4077462,Hungary,1958
Tree's a Crowd,1958-01-01T00:00:00Z,,Paul J. Smith,,tt0153282,United States,1958
Tot Watchers,1958-01-01T00:00:00Z,,"Joseph Barbera, William Hanna",7,tt0052305,United States,1958
A Pizza Tweety Pie,1958-01-01T00:00:00Z,,Friz Freleng,6,tt0052075,United States,1958
Robin Hood Daffy,1958-01-01T00:00:00Z,,Chuck Jones,6,tt0052139,United States,1958
Hare-Less Wolf,1958-01-01T00:00:00Z,,Friz Freleng,7,tt0051700,United States,1958
Okey Dokey Donkey,1958-04-25T00:00:00Z,"animated cartoon, comedy film, romance film",Isadore Sparber,7,tt0151811,United States,1958
Right Off the Bat,1958-11-01T00:00:00Z,"animated cartoon, comedy film, sport film",Seymour Kneitel,,tt0152188,United States,1958
Mole's Adventure,1958-01-01T00:00:00Z,science fiction anime and manga,,,tt3008776,Japan,1958
The Vanishing Duck,1958-01-01T00:00:00Z,,Joseph Barbera,7,tt0052347,United States,1958
Weasel While You Work,1958-01-01T00:00:00Z,,Robert McKimson,,tt0052381,United States,1958
Misguided Missile,1958-01-01T00:00:00Z,,Paul J. Smith,,tt0151589,United States,1958
Everglade Raid,1958-01-01T00:00:00Z,,Paul J. Smith,,tt0150487,United States,1958
Dog Tales,1958-01-01T00:00:00Z,,Robert McKimson,,tt0051543,United States,1958
You Can Handle It,1958-01-01T00:00:00Z,"educational film, live-action/animated film",,7,,United States,1958
The Little Donkey Wiseacre,1958-01-01T00:00:00Z,,"Liu Hui, Rong Lei",,,People's Republic of China,1958
Watch the Birdie,1958-01-01T00:00:00Z,,Alex Lovy,,tt0153657,United States,1958
Dawg Gawn,1958-12-05T00:00:00Z,,Seymour Kneitel,6,tt0150278,United States,1958
Feather Bluster,1958-01-01T00:00:00Z,,Robert McKimson,,tt0051606,United States,1958
"Whoa, Be-Gone!",1958-01-01T00:00:00Z,,Chuck Jones,,tt0052390,United States,1958
Sheep Wrecked,1958-01-01T00:00:00Z,,Michael Lah,,tt0052189,United States,1958
Satan's Satellites,1958-03-28T00:00:00Z,science fiction,Fred C. Brannon,78,tt0052160,United States,1958
Tapum! The History of Weapons,1958-01-01T00:00:00Z,,Bruno Bozzetto,11,tt0227609,Italy,1958
Tales of Frankenstein,1958-01-01T00:00:00Z,,Curt Siodmak,,tt0247751,,1958
The Fox and the Wolf,1958-01-01T00:00:00Z,,Pyotr Nosov,642,tt3444630,Soviet Union,1958
Half Empty Saddles,1958-01-01T00:00:00Z,"Western film, comedy film",Paul J. Smith,,tt0150812,United States,1958
Little Carp Jump over the Dragon Gate,1958-01-01T00:00:00Z,,He Yumen,20,tt6838480,People's Republic of China,1958
Q28464786,1958-01-01T00:00:00Z,,Attila Dargay,,,Hungary,1958
Q20438095,1958-11-13T00:00:00Z,,Tibor Csermák,,tt3439072,Hungary,1958
Q21148902,1958-01-01T00:00:00Z,fairy tale,"Leonid Aristov, Olga Khodataeva",,tt4857874,Soviet Union,1958
Royal Cat Nap,1958-01-01T00:00:00Z,film based on a novel,Joseph Barbera,,tt0052149,United States,1958
Now Hare This,1958-01-01T00:00:00Z,,Robert McKimson,,tt0052012,United States,1958
The Red Flower,1958-12-12T00:00:00Z,,Wan Laiming,10,tt2343439,People's Republic of China,1958
Pre-Hysterical Hare,1958-01-01T00:00:00Z,,Robert McKimson,7,tt0052084,United States,1958
Gopher Broke,1958-01-01T00:00:00Z,,Robert McKimson,,tt0051674,United States,1958
Happy Go Ducky,1958-01-03T00:00:00Z,,Joseph Barbera,7,tt0051698,United States,1958
His Better Elf,1958-01-01T00:00:00Z,,Paul J. Smith,,tt0150920,United States,1958
"Hook, Line and Stinker",1958-01-01T00:00:00Z,,Chuck Jones,,tt0051737,United States,1958
Hare-Way to the Stars,1958-01-01T00:00:00Z,,Chuck Jones,7,tt0051701,United States,1958
Jittery Jester,1958-01-01T00:00:00Z,,Paul J. Smith,,tt0151136,United States,1958
Q28414495,1958-01-01T00:00:00Z,,Tibor Csermák,,tt9689562,Hungary,1958
Knighty Knight Bugs,1958-01-01T00:00:00Z,family film,Friz Freleng,7,tt0051825,United States,1958
Hip Hip-Hurry!,1958-01-01T00:00:00Z,,Chuck Jones,,tt0051726,United States,1958
Don't Axe Me,1958-01-01T00:00:00Z,,Robert McKimson,,tt0051547,United States,1958
Tortilla Flaps,1958-01-01T00:00:00Z,,Robert McKimson,,tt0052304,United States,1958
Mutts About Racing,1958-04-04T00:00:00Z,,Michael Lah,,tt0051961,United States,1958
A Bird in a Bonnet,1958-01-01T00:00:00Z,,Friz Freleng,,tt0051414,United States,1958
Seksdagesløbet,1958-08-18T00:00:00Z,comedy film,Jørgen Roos,95,tt0052179,Denmark,1958
Vertigo,1958-05-28T00:00:00Z,"mystery film, psychological drama film, psychological thriller film, romance film, thriller film",Alfred Hitchcock,128,tt0052357,United States,1958
A Time to Love and a Time to Die,1958-01-01T00:00:00Z,"drama film, romance film",Douglas Sirk,132,tt0052296,United States,1958
The Great Dictator,1958-08-26T00:00:00Z,"comedy of error, drama film, political satire, slapstick, war film",Charlie Chaplin,125,tt0032553,United States,1958
The Sky Through the Trees,1958-01-01T00:00:00Z,partisan film,Stole Janković,,tt0179926,Yugoslavia,1958
Brink of Life,1958-03-31T00:00:00Z,drama film,Ingmar Bergman,84,tt0052017,Sweden,1958
The One That Got Away,1958-04-22T00:00:00Z,war film,Roy Ward Baker,106,tt0050803,United Kingdom,1958
Wild Strawberries,1958-09-30T00:00:00Z,flashback film,Ingmar Bergman,92,tt0050986,Sweden,1958
The Blob,1958-01-01T00:00:00Z,science fiction film,Irvin Yeaworth,82,tt0051418,United States,1958
The Seventh Seal,1958-10-13T00:00:00Z,historical film,Ingmar Bergman,96,tt0050976,Sweden,1958
The Bridge on the River Kwai,1958-07-18T00:00:00Z,"drama film, film based on a novel, war film",David Lean,156,tt0050212,United States,1958
The African Queen,1958-08-19T00:00:00Z,"drama film, film based on a novel, romantic comedy",John Huston,105,tt0043265,United Kingdom,1958
Schwarzwälder Kirsch,1958-01-01T00:00:00Z,musical film,Géza von Bolváry,90,tt0052167,Germany,1958
Nasser Asphalt,1958-04-03T00:00:00Z,drama film,Frank Wisbar,85,tt0051982,Germany,1958
The Brothers Karamazov,1958-02-20T00:00:00Z,film based on a novel,Richard Brooks,145,tt0051435,United States,1958
Arms and the Man,1958-11-20T00:00:00Z,romantic comedy film,Franz Peter Wirth,100,tt0051712,Germany,1958
Abenteuer in Bamsdorf,1958-01-01T00:00:00Z,adventure film,Konrad Petzold,60,tt0050093,Germany,1958
The Big Country,1958-08-21T00:00:00Z,"Western film, drama film",William Wyler,165,tt0051411,United States,1958
Canal,1958-07-25T00:00:00Z,war film,Andrzej Wajda,95,tt0050585,Poland,1958
The Lost Doll,1959-01-01T00:00:00Z,"animated film, children's film, family film, puppet film, short film","Hermína Týrlová, Josef Pinkava",19,tt0428066,Czechoslovakia,1959
Q57262796,1959-01-01T00:00:00Z,"animated film, short film",Jiří Brdečka,12,tt0247630,Czechoslovakia,1959
Donald in Mathmagic Land,1959-01-01T00:00:00Z,fantasy film,"Hamilton Luske, Joshua Meador, Les Clark, Wolfgang Reitherman",27,tt0052751,United States,1959
Huey's Father's Day,1959-05-08T00:00:00Z,comedy film,Seymour Kneitel,6,tt0146918,United States,1959
Hare-Abian Nights,1959-01-01T00:00:00Z,,Ken Harris,,tt0052879,United States,1959
Unnatural History,1959-01-01T00:00:00Z,,Abe Levitow,,tt0053396,United States,1959
Q56896208,1959-01-01T00:00:00Z,"animated film, children's film, family film, puppet film, short film",Zdeněk Rozkopal,11,tt4316652,Czechoslovakia,1959
A Witch's Tangled Hare,1959-01-01T00:00:00Z,,Abe Levitow,6,tt0053447,United States,1959
Magic Boy,1959-12-25T00:00:00Z,"adventure anime and manga, adventure film",Taiji Yabushita,78,tt0053275,Japan,1959
Hot-Rod and Reel!,1959-01-01T00:00:00Z,,Chuck Jones,6,tt0052904,United States,1959
The Buddenbrooks,1959-01-01T00:00:00Z,"drama film, fiction film, film based on a novel",Alfred Weidenmann,,,Germany,1959
A Mutt in a Rut,1959-01-01T00:00:00Z,,Robert McKimson,,tt0053089,United States,1959
Three Men,1959-01-01T00:00:00Z,"animated film, short film, slapstick",Vladimír Lehký,7,,Czechoslovakia,1959
Wild About Hurry,1959-01-01T00:00:00Z,,Chuck Jones,,tt0053443,United States,1959
A Broken Leghorn,1959-01-01T00:00:00Z,,Robert McKimson,7,tt0052651,United States,1959
How to Have an Accident at Work,1959-01-01T00:00:00Z,,Charles August Nichols,7,tt0052909,United States,1959
How to Furnish an Apartment,1959-01-01T00:00:00Z,"animated film, puppet film, short film",Břetislav Pojar,,tt0244560,Czechoslovakia,1959
The Owl and Fred Jones,1959-01-01T00:00:00Z,animated cartoon,Denis Gilpin,14,,United States,1959
Romp in a Swamp,1959-01-01T00:00:00Z,,Paul J. Smith,,tt0152227,United States,1959
Woodpecker in the Moon,1959-01-01T00:00:00Z,,Alex Lovy,,tt0153919,United States,1959
Casper's Birthday Party,1959-07-31T00:00:00Z,"animated cartoon, comedy film",Seymour Kneitel,,tt0147963,United States,1959
The Amber Castle,1959-01-01T00:00:00Z,,Alexandra Snezhko-Blotskaya,,tt5523614,Soviet Union,1959
Owly to Bed,1959-01-02T00:00:00Z,,Seymour Kneitel,6,tt0151873,United States,1959
Fikmik,1959-01-01T00:00:00Z,"animated film, children's film, cinematic fairy tale, puppet film, short film",Jan Karpaš,16,,Czechoslovakia,1959
Houndabout,1959-04-10T00:00:00Z,"animated cartoon, comedy film",Seymour Kneitel,,tt0150973,United States,1959
T.V. Fuddlehead,1959-10-16T00:00:00Z,comedy film,Seymour Kneitel,7,tt0152802,United States,1959
Trick or Tweet,1959-01-01T00:00:00Z,,Friz Freleng,,tt0053378,United States,1959
"Here Today, Gone Tamale",1959-01-01T00:00:00Z,,Friz Freleng,6,tt0052885,United States,1959
Wild and Woolly Hare,1959-01-01T00:00:00Z,"Western film, comedy film",Friz Freleng,7,tt0053444,United States,1959
Fit to Be Toyed,1959-02-16T00:00:00Z,"animated cartoon, comedy film",Seymour Kneitel,,tt0150572,United States,1959
Cat's Paw,1959-01-01T00:00:00Z,,Robert McKimson,6,tt0052682,United States,1959
Baton Bunny,1959-01-01T00:00:00Z,musical film,Chuck Jones,7,tt0052603,United States,1959
Tweet and Lovely,1959-07-18T00:00:00Z,,Friz Freleng,6,tt0053387,United States,1959
Backwoods Bunny,1959-01-01T00:00:00Z,,Robert McKimson,,tt0052596,United States,1959
Mexicali Shmoes,1959-01-01T00:00:00Z,,Friz Freleng,7,tt0053064,United States,1959
Tanuki-san Ōatari,1959-07-07T00:00:00Z,dance film,,,tt0440852,Japan,1959
Bonanza Bunny,1959-01-01T00:00:00Z,,Robert McKimson,,tt0052641,United States,1959
Panhandle Scandal,1959-01-01T00:00:00Z,,Alex Lovy,,tt0151889,United States,1959
Q57019426,1959-01-01T00:00:00Z,"animated film, family film, puppet film, short film",Josef Kluge,,tt14285944,Czechoslovakia,1959
The Tee Bird,1959-01-01T00:00:00Z,sport film,Paul Smith,,tt0152944,United States,1959
I know,1959-05-29T00:00:00Z,,He Yumen,20,,People's Republic of China,1959
Out of This Whirl,1959-10-02T00:00:00Z,"comedy film, fantasy film",Seymour Kneitel,7,tt0151863,United States,1959
Three Woodsmen,1959-01-01T00:00:00Z,cinematic fairy tale,Leonid Amalrik,10,tt1795034,Soviet Union,1959
Golden Earrings and Iron Hoe,1959-08-28T00:00:00Z,,Xu Bingduo,30,,People's Republic of China,1959
Apes of Wrath,1959-01-01T00:00:00Z,,Friz Freleng,7,tt0052569,United States,1959
Tomcat Combat,1959-01-01T00:00:00Z,,Paul J. Smith,,tt0153157,United States,1959
Trips the Trapper,1959-01-01T00:00:00Z,comedy,Sam Singer,5,,United States,1959
Log Jammed,1959-01-01T00:00:00Z,,Paul J. Smith,,tt0151376,United States,1959
People Are Bunny,1959-01-01T00:00:00Z,,Robert McKimson,6,tt0053160,United States,1959
Q57441981,1959-01-01T00:00:00Z,,Marchela Dimitrova,,,People's Republic of Bulgaria,1959
The Secret of the Golden Shoes,1959-01-01T00:00:00Z,,Todor Dinov,,tt6210182,People's Republic of Bulgaria,1959
Q28438091,1959-01-01T00:00:00Z,,Tibor Csermák,,,Hungary,1959
Kiddie League,1959-01-01T00:00:00Z,sport film,Paul J. Smith,,tt0151209,United States,1959
North by Northwest,1959-12-18T00:00:00Z,"crime drama film, mystery film, thriller film",Alfred Hitchcock,136,tt0053125,United States,1959
Canal,1959-01-08T00:00:00Z,drama film,Andrzej Wajda,95,tt0050585,Poland,1959
Vertigo,1959-02-03T00:00:00Z,mystery film,Alfred Hitchcock,128,tt0052357,United States,1959
Some Like It Hot,1959-01-01T00:00:00Z,"crime film, musical film",Billy Wilder,120,tt0053291,United States,1959
The Cousins,1959-03-11T00:00:00Z,drama film,Claude Chabrol,108,tt0052708,France,1959
Ben-Hur,1959-11-18T00:00:00Z,epic film,William Wyler,222,tt0052618,United States,1959
Carmen Get It!,1962-01-01T00:00:00Z,musical film,Gene Deitch,,tt0055829,United States,1962
Shishkabugs,1962-01-01T00:00:00Z,,Friz Freleng,,tt0056483,United States,1962
Hatari!,1962-12-21T00:00:00Z,"action film, drama film, romantic comedy","Howard Hawks, Paul Helmick",157,tt0056059,United States,1962
Calypso Cat,1962-01-01T00:00:00Z,,Gene Deitch,7,tt0055822,United States,1962
"Alarm, Alarm",1962-01-01T00:00:00Z,animated film,Antonín Horák,,,Czechoslovakia,1962
Q28859420,1962-01-01T00:00:00Z,,József Nepp,,,Hungary,1962
Honey's Money,1962-01-01T00:00:00Z,,Friz Freleng,,tt0056077,United States,1962
A Symposium on Popular Songs,1962-01-01T00:00:00Z,"comedy film, musical film",Bill Justice,20,tt0056545,United States,1962
Ivan's Childhood,1962-05-09T00:00:00Z,"drama film, teen film, war film",Andrei Tarkovsky,95,tt0056111,Soviet Union,1962
Q20755929,1962-01-01T00:00:00Z,,Bent Barfod,12,,Denmark,1962
Escape from Zahrain,1962-01-01T00:00:00Z,action film,Ronald Neame,93,tt0055963,United States,1962
Landing Stripling,1962-01-01T00:00:00Z,comedy film,Gene Deitch,7,tt0056164,United States,1962
Q57268221,1962-01-01T00:00:00Z,puppet film,Břetislav Pojar,14,,Czechoslovakia,1962
Labyrinth,1962-01-01T00:00:00Z,,Jan Lenica,14,tt0367944,Poland,1962
Quackodile Tears,1962-01-01T00:00:00Z,,Arthur Davis,,tt0056386,United States,1962
Martian Through Georgia,1962-01-01T00:00:00Z,science fiction film,Chuck Jones,,tt0056227,United States,1962
High Steaks,1962-01-01T00:00:00Z,,"Gene Deitch, Václav Bedřich",7,tt0056068,United States,1962
Louvre Come Back to Me!,1962-01-01T00:00:00Z,romantic comedy,Chuck Jones,6,tt0056200,United States,1962
Q28455096,1962-01-01T00:00:00Z,,Tibor Csermák,,,Hungary,1962
Mouse into Space,1962-01-01T00:00:00Z,,Gene Deitch,6,tt0056252,United States,1962
The Story in the Murals,1962-03-09T00:00:00Z,,"He Yumen, Wang Shuchen",11,,People's Republic of China,1962
The Slick Chick,1962-01-01T00:00:00Z,,Robert McKimson,,tt0056498,United States,1962
The Firefly No. 2,1962-01-01T00:00:00Z,,Pyotr Nosov,,tt7624464,Soviet Union,1962
Dicky Moe,1962-01-01T00:00:00Z,,Gene Deitch,7,tt0055909,United States,1962
What Ever Happened to Baby Jane?,1962-01-01T00:00:00Z,"film based on literature, psycho-biddy, psychological horror, psychological thriller",Robert Aldrich,134,tt0056687,United States,1962
Boccaccio '70,1962-01-01T00:00:00Z,"comedy film, fantasy film, romance film","Federico Fellini, Luchino Visconti, Mario Monicelli, Vittorio De Sica",205,tt0055805,France,1962
Q9164334,1962-01-01T00:00:00Z,,Mirosław Kijowicz,,,,1962
Šeikov briljant,1962-12-31T00:00:00Z,,,,tt0320438,Yugoslavia,1962
The Jet Cage,1962-01-01T00:00:00Z,,Friz Freleng,,tt0056118,United States,1962
Mother Was a Rooster,1962-01-01T00:00:00Z,,Robert McKimson,6,tt0056251,United States,1962
A Sheep in the Deep,1962-01-01T00:00:00Z,,Chuck Jones,6,tt0055721,United States,1962
Q19703790,1962-01-01T00:00:00Z,,Tibor Csermák,,tt3443776,Hungary,1962
Buddies Thicker Than Water,1962-01-01T00:00:00Z,,Gene Deitch,9,tt0055814,United States,1962
Zoom at the Top,1962-01-01T00:00:00Z,,Chuck Jones,,tt0056723,United States,1962
The Tom and Jerry Cartoon Kit,1962-01-01T00:00:00Z,,Gene Deitch,,tt0056595,United States,1962
Sorry Safari,1962-01-01T00:00:00Z,comedy film,Gene Deitch,7,tt0056513,United States,1962
Q15622211,1962-01-01T00:00:00Z,,"Gyula Macskássy, György Várnai",,,Hungary,1962
Meitounao and Bugaoxing,1962-01-01T00:00:00Z,,,20,tt6825352,People's Republic of China,1962
Q28554767,1962-01-01T00:00:00Z,,Tibor Csermák,,,Hungary,1962
Mexican Boarders,1962-01-01T00:00:00Z,,Friz Freleng,7,tt0056235,United States,1962
Tall in the Trap,1962-01-01T00:00:00Z,,Gene Deitch,7,tt0056553,United States,1962
Bill of Hare,1962-06-09T00:00:00Z,,Robert McKimson,7,tt0055795,United States,1962
The Story of a Crime,1962-01-01T00:00:00Z,,Fyodor Khitruk,20,tt0487622,Soviet Union,1962
A Fistful of Dollars,1964-01-01T00:00:00Z,"Spaghetti Western, Western film, action film","Monte Hellman, Sergio Leone",99,tt0058461,West Germany,1964
Film,1964-01-01T00:00:00Z,"drama film, silent film, surrealist cinema",Alan Schneider,22,tt0060410,United States,1964
The Iceman Ducketh,1964-05-16T00:00:00Z,,Phil Monroe,6,tt0058223,United States,1964
War and Pieces,1964-01-01T00:00:00Z,,Chuck Jones,,tt0058736,United States,1964
Cameraman Kops in Mushroomland,1964-01-01T00:00:00Z,,Heino Pars,20,tt0452362,Estonia,1964
Dumb Patrol,1964-01-01T00:00:00Z,,Gerry Chiniquy,,tt0058046,United States,1964
A Romantic Story,1964-01-01T00:00:00Z,,Gyula Macskássy,,tt0058532,Hungary,1964
Two on a Raft,1964-09-26T00:00:00Z,,John Rich,,tt0784371,,1964
Get Lost! Little Doggy,1964-01-01T00:00:00Z,,Sid Marcus,,tt0150714,,1964
The Pink Phink,1964-12-18T00:00:00Z,children's film,"Friz Freleng, Hawley Pratt",7,tt0058472,United States,1964
Freudy Cat,1964-01-01T00:00:00Z,,Robert McKimson,6,tt0058117,United States,1964
Is There a Doctor in the Mouse?,1964-01-01T00:00:00Z,,Chuck Jones,7,tt0058239,United States,1964
Archangel Gabriel and Ms Goose,1964-01-01T00:00:00Z,"animated film, puppet film, short film, silent film",Jiří Trnka,29,tt0309297,Czechoslovakia,1964
Señorella and the Glass Huarache,1964-01-01T00:00:00Z,"comedy film, family film, fantasy film",Hawley Pratt,6,tt0058582,United States,1964
The Cat Above and the Mouse Below,1964-01-01T00:00:00Z,musical film,Chuck Jones,7,tt0057925,United States,1964
Snowbody Loves Me,1964-01-01T00:00:00Z,comedy drama,Chuck Jones,8,tt0058597,United States,1964
The Games of Angels,1964-01-01T00:00:00Z,,Walerian Borowczyk,12,tt0058246,France,1964
False Hare,1964-01-01T00:00:00Z,,Robert McKimson,,tt0058086,United States,1964
Daisy,1964-01-01T00:00:00Z,,,60,tt11160646,United States,1964
A Little Frog Is looking for His Father,1964-01-01T00:00:00Z,,Roman Kachanov,,tt0215945,Soviet Union,1964
A Message to Gracias,1964-01-01T00:00:00Z,,Robert McKimson,,tt0058344,United States,1964
Q4410508,1964-01-01T00:00:00Z,,Yuri Prytkov,,tt6832866,Soviet Union,1964
Roamin' Roman,1964-01-01T00:00:00Z,,Paul J. Smith,,tt0152199,,1964
Thumbelina,1964-07-03T00:00:00Z,film based on literature,Leonid Amalrik,30,tt0188580,Soviet Union,1964
Hawaiian Aye Aye,1964-01-01T00:00:00Z,,Gerry Chiniquy,,tt0058184,United States,1964
Toptyzhka,1964-01-01T00:00:00Z,,Fyodor Khitruk,,tt1332621,Soviet Union,1964
The Last Trick,1964-01-01T00:00:00Z,"puppet film, short film",Jan Švankmajer,12,tt0058486,Czechoslovakia,1964
The Unshrinkable Jerry Mouse,1964-01-01T00:00:00Z,comedy film,Chuck Jones,6,tt0058707,United States,1964
Much Ado About Mousing,1964-01-01T00:00:00Z,comedy film,Chuck Jones,7,tt0058380,United States,1964
Almost There,1964-01-01T00:00:00Z,,Hu Xionghua,20,tt6850728,People's Republic of China,1964
Dr. Devil and Mr. Hare,1964-01-01T00:00:00Z,,Robert McKimson,7,tt0058036,United States,1964
Flatland,1965-01-01T00:00:00Z,short film,Eric Martin,11,tt0823212,United States,1965
Tease for Two,1965-01-01T00:00:00Z,,Robert McKimson,,tt0059785,United States,1965
Tom-ic Energy,1965-01-01T00:00:00Z,comedy film,Chuck Jones,7,tt0059820,United States,1965
Just Plane Beep,1965-01-01T00:00:00Z,,Rudy Larriva,,,United States,1965
I'm Just Wild About Jerry,1965-01-01T00:00:00Z,,Chuck Jones,6,tt0059299,United States,1965
The Dot and the Line,1965-12-15T00:00:00Z,"comedy film, family film, romance film",Chuck Jones,10,tt0059122,United States,1965
A Bear Cub on the Road,1965-01-01T00:00:00Z,,Rasa Strautmane,,tt2221747,Soviet Union,1965
Reel Pink,1965-01-01T00:00:00Z,,Hawley Pratt,,tt0059642,United States,1965
Aye Meri Zohra Jabeen,1965-07-30T00:00:00Z,romance,Yash Chopra,,,India,1965
Un anno d'amore,1965-01-01T00:00:00Z,,Valerio Zurlini,,,Italy,1965
Gulliver's Travels Beyond the Moon,1965-03-20T00:00:00Z,"adventure anime and manga, adventure film, fantasy anime and manga, fantasy film",Yoshio Kuroda,80,tt0059212,Japan,1965
Goofy's Freeway Troubles,1965-01-01T00:00:00Z,,Les Clark,13,tt0059238,United States,1965
Cats and Bruises,1965-01-01T00:00:00Z,,Friz Freleng,6,tt0059021,United States,1965
It's Nice to Have a Mouse Around the House,1965-01-01T00:00:00Z,,Friz Freleng,6,tt0059322,United States,1965
Of Feline Bondage,1965-01-01T00:00:00Z,,Chuck Jones,6,tt0059533,United States,1965
Era vivere,1965-01-01T00:00:00Z,,Antonello Falqui,,,Italy,1965
Road Runner a Go-Go,1965-02-01T00:00:00Z,,Chuck Jones,,tt0056416,United States,1965
"Christophe ""Aline""",1965-10-14T00:00:00Z,,,,,,1965
Mon amie la rose,1965-04-26T00:00:00Z,,,,,,1965
Help!,1965-01-01T00:00:00Z,,,,,United Kingdom,1965
Corn on the Cop,1965-01-01T00:00:00Z,,Irv Spector,6,tt0059058,United States,1965
La gazza ladra,1965-01-01T00:00:00Z,,"Emanuele Luzzati, Giulio Gianini",11,tt0059214,Italy,1965
Oxidia,1965-01-01T00:00:00Z,,József Nepp,,,Hungary,1965
Rushing Roulette,1965-07-31T00:00:00Z,,Robert McKimson,,tt0059667,United States,1965
Bad Day at Cat Rock,1965-01-01T00:00:00Z,comedy film,Chuck Jones,6,tt0058932,United States,1965
The Cat's Me-Ouch!,1965-01-01T00:00:00Z,,Chuck Jones,6,tt0059018,United States,1965
The Year of the Mouse,1965-01-01T00:00:00Z,,Chuck Jones,6,tt0059818,United States,1965
What's Peckin',1965-01-01T00:00:00Z,,Paul J. Smith,,tt0153745,,1965
Donald's Fire Survival Plan,1965-01-01T00:00:00Z,,Les Clark,11,tt0485505,United States,1965
Well Worn Daffy,1965-01-01T00:00:00Z,,Robert McKimson,,tt0059899,United States,1965
Q21997190,1965-01-01T00:00:00Z,,Vadim Vladimirovitch Kurchevsky,18,tt5444286,Soviet Union,1965
The Hand,1965-01-01T00:00:00Z,"animated film, puppet film, short film",Jiří Trnka,18,tt0239921,Czechoslovakia,1965
The Wild Chase,1965-01-01T00:00:00Z,,Friz Freleng,,tt0059911,United States,1965
Homo Fabel,1965-01-01T00:00:00Z,,Tamás Szabó Sipos,,,Hungary,1965
We Can Work It Out,1965-01-01T00:00:00Z,,,,,United Kingdom,1965
Go Go Amigo,1965-01-01T00:00:00Z,,Robert McKimson,,tt0059234,United States,1965
Chaser on the Rocks,1965-01-01T00:00:00Z,,Rudy Larriva,,tt0059027,United States,1965
Freewayphobia #1,1965-01-01T00:00:00Z,,Les Clark,16,tt0059200,United States,1965
Highway Runnery,1965-01-01T00:00:00Z,,Rudy Larriva,,tt0059271,United States,1965
Vovka v tridevyatom tsarstve,1965-05-04T00:00:00Z,parody,Boris Stepantsev,,tt0213309,Soviet Union,1965
Q15623535,1965-01-01T00:00:00Z,,"Gyula Macskássy, György Várnai",,tt3501166,Hungary,1965
The Brothers Carry-Mouse-Off,1965-01-01T00:00:00Z,comedy film,"Jim Pabian, Maurice Noble",,tt0058993,United States,1965
The Young Lady and the Cellist,1965-01-01T00:00:00Z,,Jean-François Laguionie,9,tt0414942,France,1965
Rikki-Tikki-Tavi,1965-01-01T00:00:00Z,,Alexandra Snezhko-Blotskaya,20,tt0213197,Soviet Union,1965
Assault and Peppered,1965-01-01T00:00:00Z,comedy film,Robert McKimson,6,tt0058923,United States,1965
Haunted Mouse,1965-01-01T00:00:00Z,,Chuck Jones,7,tt0059257,United States,1965
"Ah, Sweet Mouse-Story of Life",1965-01-01T00:00:00Z,,Chuck Jones,6,tt0058887,United States,1965
"Run, Run, Sweet Road Runner",1965-01-01T00:00:00Z,,Rudy Larriva,6,tt0059664,United States,1965
Suppressed Duck,1965-01-01T00:00:00Z,,Robert McKimson,,tt0059767,United States,1965
Aage Bhi Jaane Na Tu,1965-07-30T00:00:00Z,stage and screen,Yash Chopra,,,India,1965
A Fistful of Dollars,1965-03-05T00:00:00Z,"Spaghetti Western, Western film, action film","Monte Hellman, Sergio Leone",99,tt0058461,Spain,1965
Agent 077: From the Orient with Fury,1965-10-22T00:00:00Z,"action film, adventure film, parody film, spy film",Sergio Grieco,94,tt0058881,France,1965
Thunderball,1965-12-30T00:00:00Z,"film based on a novel, spy film",Terence Young,130,tt0059800,United Kingdom,1965
Cat Ballou,1965-01-01T00:00:00Z,"Western film, comedy film",Elliot Silverstein,95,tt0059017,United States,1965
Barbarella,1968-10-22T00:00:00Z,"adventure film, comedy film, erotic film, fantasy film, science fiction film",Roger Vadim,98,tt0062711,France,1968
"Well, Just You Wait!",1969-01-01T00:00:00Z,"adventure film, animated short film, comedy film","Aleksey Kotyonochkin, Vladimir Tarasov, Vyacheslav Kotyonochkin",,tt0234355,Russia,1969
Q57268219,1969-01-01T00:00:00Z,"animated film, short film",Božena Možíšová,11,,Czechoslovakia,1969
Tumble Weed Greed,1969-01-01T00:00:00Z,,Paul J. Smith,,tt0153330,United States,1969
